Year,Manufacturer,Model,CarOrdinal
2016,Abarth,695 Biposto,2489
2013,Abarth,Punto SuperSport,1666
1980,Abarth,Fiat 131,1124
1968,Abarth,595 esseesse,2017
2017,Acura,NSX,2352
2017,Acura,NSX Forza Edition,2779
2002,Acura,RSX Type-S,422
2001,Acura,Integra Type-R,368
2017,Alfa Romeo,Giulia Quadrifoglio,2542
2014,Alfa Romeo,4C,2038
2011,Alfa Romeo,Giulietta Quadrifoglio Verde,1325
2007,Alfa Romeo,8C Competizione,1032
1992,Alfa Romeo,155 Q4,1393
1992,Alfa Romeo,Milano Quadrifoglio Verde,2190
1990,Alfa Romeo,SZ Sprint Zagato,1571
1986,Alfa Romeo,GTV-6,1507
1986,Alfa Romeo,Spider Quadrifoglio Verde,1377
1970,Alfa Romeo,Montreal,1461
1968,Alfa Romeo,33 Stradale,1549
1965,Alfa Romeo,Giulia Sprint GTA Stradale,1150
1965,Alfa Romeo,Giulia TZ2,2161
1958,Alfa Romeo,Giulietta Sprint Veloce,3027
1950,Alfa Romeo,158,2411
1934,Alfa Romeo,P3,2122
1932,Alfa Romeo,8C 2300 Spider,2802
2015,Alumi Craft,Class 10 Race Car,2552
1977,AMC,Pacer X,1463
1971,AMC,Javelin AMX,1267
1970,AMC,Rebel 'The Machine',1572
2016,Ariel,Nomad,2430
2013,Ariel,Atom 500 V8,1651
2017,Aston Martin,2017er Aston Martin #7 V12 Vantage GT3,2860
2017,Aston Martin,DB11,2527
2016,Aston Martin,Vantage GT12,2493
2016,Aston Martin,Vulcan,2470
2013,Aston Martin,V12 Vantage S,2181
2012,Aston Martin,V12 Zagato,2378
2012,Aston Martin,Vanquish,1636
2010,Aston Martin,One-77,1181
2008,Aston Martin,DBS,1081
2006,Aston Martin,#007 Aston Martin Racing DBR9,631
1998,Aston Martin,V8 Vantage V600,1519
1989,Aston Martin,#18 Aston Martin AMR1,1551
1977,Aston Martin,V8 Vantage,1326
1964,Aston Martin,DB5,1105
1960,Aston Martin,DB4 GT Zagato,1550
1958,Aston Martin,DBR1,1386
2018,Audi,#1 Audi Sport RS 3 LMS,2852
2016,Audi,#17 Rotek Racing TT RS,2859
2016,Audi,R8 V10 plus,2473
2015,Audi,RS 6 Avant,2180
2015,Audi,S1,2179
2015,Audi,S3 Sedan,2132
2015,Audi,TTS Coup̩,2182
2014,Audi,#2 Audi Team Joest R18 e-tron quattro,2271
2014,Audi,#45 Flying Lizard Motorsports R8 LMS ultra,2221
2014,Audi,#67 Rotek Racing S3 Saloon,2222
2013,Audi,R8 Coup̩ V10 plus 5.2 FSI quattro,2010
2013,Audi,RS 4 Avant,1607
2013,Audi,RS 7 Sportback,2009
2012,Audi,#1 Audi Team Joest R18 e-tron quattro,2014
2011,Audi,#2 Audi Sport Team Joest R15++ TDI,1436
2011,Audi,RS 3 Sportback,1216
2011,Audi,RS 5 Coup̩,1417
2010,Audi,TT RS Coup̩,1220
2009,Audi,Q7 V12 TDI,1053
2009,Audi,RS 6,1184
2006,Audi,RS 4,419
2004,Audi,S4,428
2003,Audi,RS 6,420
2001,Audi,RS 4 Avant,2178
1995,Audi,RS 2 Avant,1370
1989,Audi,#4 Audi 90 quattro IMSA GTO,1573
1986,Audi,#2 Audi Sport quattro S1,1478
1983,Audi,Sport quattro,633
1939,Auto Union,Type D,2096
2014,BAC,Mono,2040
2017,Bentley,#17A LIQUI MOLY M-Sport Continental GT3,2223
2017,Bentley,Continental Supersports,2665
2016,Bentley,Bentayga,2625
2015,Bentley,EXP 10 Speed 6 Concept,2490
2013,Bentley,Continental GT Speed,2041
2018,BMW,#1 BMW M Motorsport M8 GTE,3073
2017,BMW,#24 BMW Team RLL M6 GTLM,2824
2016,BMW,M2 Coup̩,2477
2016,BMW,M4 GTS,2628
2015,BMW,i8,2133
2015,BMW,X6 M,2431
2014,BMW,#5 eBay Motors 125i M Sport,2224
2014,BMW,#55 BMW Team RLL Z4 GTE,2225
2014,BMW,#56 BMW Team RLL Z4 GTE,2336
2014,BMW,M4 Coupe,2154
2014,BMW,M4 Coup̩ Forza Edition,2672
2013,BMW,M6 Coupe,2018
2012,BMW,M5,1388
2011,BMW,1 Series M Coupe,1385
2011,BMW,X5 M,1350
2011,BMW,Z4 sDrive35is,1218
2010,BMW,M6 Coupe,1217
2009,BMW,#92 Rahal Letterman Racing M3 GT2,1111
2009,BMW,M5,1126
2008,BMW,M3,1011
2008,BMW,Z4 M Coupe,1059
2005,BMW,M3,383
2003,BMW,M5,1367
2002,BMW,Z3 M Coupe,1268
2000,BMW,323ti Sport,2193
2000,BMW,Z8,1327
1999,BMW,#15 BMW Motorsport V12 LMR,505
1999,BMW,#16 BMW Motorsport V12 LMR,2300
1997,BMW,M3,382
1997,BMW,M3 Forza Edition,2671
1995,BMW,850CSi,1493
1995,BMW,850CSi Forza Edition,3056
1995,BMW,M5,1418
1991,BMW,M3,642
1991,BMW,M3 Forza Edition,3077
1988,BMW,M5,1368
1986,BMW,M635 CSi,1290
1981,BMW,M1,1040
1979,BMW,#6 BMW Motorsport M1 Procar,2103
1975,BMW,#25 BMW Motorsport 3.0 CSL,2112
1973,BMW,2002 Turbo,1269
1959,BMW,507,1508
1957,BMW,Isetta 300 Export,2412
1939,BMW,328,1552
2012,Bowler,EXR S,1494
1977,Brabham,#8 Motor Racing Developments BT45B,2274
1967,Brabham,BT24,2033
2018,Bugatti,Chiron,2624
2011,Bugatti,Veyron Super Sport,1328
1992,Bugatti,EB110 Super Sport,1219
1926,Bugatti,Type 35 C,2066
1987,Buick,Regal GNX,417
1970,Buick,GSX,1329
2016,Cadillac,ATS-V,2262
2016,Cadillac,ATS-V Forza Edition,2781
2016,Cadillac,CTS-V Sedan,2421
2013,Cadillac,XTS Limousine,2128
